offspring_id,stream_off,year_off,origin_off,sex_off,date_off,DOY_off,length_off,distance_mouth_off,intertidal_off,distance_tide_off,otolith_mark_present_off,otolith_mark_id_off,silly_off,fish_id_off,sample_off,dna_tray_code_off,dna_tray_well_code_off,stream_trib_off,spawning_state_off,pre_spawn_off,partial_spawn_off,preyed_upon_off,riverdist_seg_off,riverdist_vert_off,riverdist_snapdist_off,latitude_off,longitude_off,high_tide_off,mating_id,parent_id_sire,parent_id_dam,stream_sire,stream_dam,year_sire,year_dam,origin_sire,origin_dam,sex_sire,sex_dam,date_sire,date_dam,DOY_sire,DOY_dam,length_sire,length_dam,distance_mouth_sire,distance_mouth_dam,intertidal_sire,intertidal_dam,distance_tide_sire,distance_tide_dam,otolith_mark_present_sire,otolith_mark_present_dam,otolith_mark_id_sire,otolith_mark_id_dam,silly_sire,silly_dam,fish_id_sire,fish_id_dam,sample_sire,sample_dam,dna_tray_code_sire,dna_tray_code_dam,dna_tray_well_code_sire,dna_tray_well_code_dam,stream_trib_sire,stream_trib_dam,spawning_state_sire,spawning_state_dam,pre_spawn_sire,pre_spawn_dam,partial_spawn_sire,partial_spawn_dam,preyed_upon_sire,preyed_upon_dam,riverdist_seg_sire,riverdist_seg_dam,riverdist_vert_sire,riverdist_vert_dam,riverdist_snapdist_sire,riverdist_snapdist_dam,latitude_sire,latitude_dam,longitude_sire,longitude_dam,high_tide_sire,high_tide_dam,cross_type
PE16_05261,Erb,2016,NA,Male,2016-09-03,247,414,154.109031710723,Intertidal,-44.32124732115278,NA,NA,PERB16,5261,0000016122_39,0000016122,39,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,742,3.33568490043899,60.3768723580858,-148.15130828322597,198.43027903187576,PE14_01650_PE14_01640,PE14_01640,PE14_01650,Erb,Erb,2014,2014,Natural,Hatchery,Male,Female,2014-09-04,2014-09-04,247,247,382,NA,83.85867032158808,83.85867032158808,Intertidal,Intertidal,-114.5716087102877,-114.5716087102877,NO,YES,NA,AFK12B,PERB14,PERB14,1640,1650,1400000943_22,1400000943_32,1400000943,1400000943,22,32,Erb C,Erb C,Pink Gill,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,813,813,5.172092083089605,5.172092083089605,60.3772994422236,60.3772994422236,-148.15043220856998,-148.15043220856998,198.43027903187576,198.43027903187576,HN
PE16_05278,Erb,2016,NA,Female,2016-09-03,247,428,206.4302790318493,Upstream,7.999999999973511,NA,NA,PERB16,5278,0000016121_8,0000016121,8,Erb C,Grey Gill,FALSE,FALSE,TRUE,1,689,0.7135421647275995,60.3770367805558,-148.152089572252,198.43027903187576,PE14_01348_PE14_01000,PE14_01000,PE14_01348,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-27,2014-09-01,239,244,444,432,0,13.858670321660156,Intertidal,Intertidal,-198.43027903187576,-184.57160871021563,NO,NO,NA,NA,PERB14,PERB14,1000,1348,1400000913_28,1400000927_4,1400000913,1400000927,28,4,Erb C,Erb C,Pink Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,897,883,39.524341642675125,20.162530667165168,60.3775486378716,60.3778426622984,-148.148778066435,-148.149715148419,198.43027903187576,198.43027903187576,NN
PE16_05289,Erb,2016,NA,Male,2016-09-03,247,418,154.109031710723,Intertidal,-44.32124732115278,NA,NA,PERB16,5289,0000016121_19,0000016121,19,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,742,3.33568490043899,60.3768723580858,-148.15130828322597,198.43027903187576,PE14_00221_PE14_00798,PE14_00798,PE14_00221,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-26,2014-08-17,238,229,414,NA,124.85867032167982,46.85867032159399,Intertidal,Intertidal,-73.57160871019596,-151.5716087102818,NO,NO,NA,NA,PERB14,PERB14,798,221,1400000907_4,1400000888_18,1400000907,1400000888,4,18,Erb C,Erb C,Pink Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,772,850,0.4562475236311191,18.09630309032854,60.37700665460449,60.3773886965365,-148.15088876220898,-148.14965356544198,198.43027903187576,198.43027903187576,NN
PE16_05290,Erb,2016,NA,Female,2016-09-03,247,438,154.109031710723,Intertidal,-44.32124732115278,NA,NA,PERB16,5290,0000016121_20,0000016121,20,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,742,3.33568490043899,60.3768723580858,-148.15130828322597,198.43027903187576,PE14_00438_PE14_00721,PE14_00721,PE14_00438,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-24,2014-08-21,236,233,349,422,0,115.85867032172088,Intertidal,Intertidal,-198.43027903187576,-82.57160871015492,NO,NO,NA,NA,PERB14,PERB14,721,438,1400000903_23,1400000894_28,1400000903,1400000894,23,28,Erb C,Erb C,Grey Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,897,781,40.45382217225213,1.8946537407199584,60.377561714816494,60.3770556127354,-148.14872953919502,-148.15074623088998,198.43027903187576,198.43027903187576,NN
PE16_05314,Erb,2016,NA,Male,2016-09-03,247,448,154.109031710723,Intertidal,-44.32124732115278,NA,NA,PERB16,5314,0000016121_44,0000016121,44,Erb C,Grey Gill,FALSE,FALSE,FALSE,1,742,3.33568490043899,60.3768723580858,-148.15130828322597,198.43027903187576,PE14_01655_PE14_01042,PE14_01042,PE14_01655,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-28,2014-09-04,240,247,NA,432,0,83.85867032158808,Intertidal,Intertidal,-198.43027903187576,-114.5716087102877,NO,NO,NA,NA,PERB14,PERB14,1042,1655,1400000914_41,1400000943_37,1400000914,1400000943,41,37,Erb C,Erb C,Unknown,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,897,813,167.15606045886216,5.172092083089605,60.379247471098,60.3772994422236,-148.14851708271803,-148.15043220856998,198.43027903187576,198.43027903187576,NN
PE16_05318,Erb,2016,NA,Male,2016-09-03,247,424,154.109031710723,Intertidal,-44.32124732115278,NA,NA,PERB16,5318,0000016121_48,0000016121,48,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,742,3.33568490043899,60.3768723580858,-148.15130828322597,198.43027903187576,PE14_00910_PE14_00647,PE14_00647,PE14_00910,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-24,2014-08-27,236,239,400,389,0,65.85867032167027,Intertidal,Intertidal,-198.43027903187576,-132.5716087102055,NO,NO,NA,NA,PERB14,PERB14,647,910,1400000901_45,1400000911_34,1400000901,1400000911,45,34,Erb C,Erb C,Grey Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,897,831,40.45382217225213,41.317912926157696,60.377561714816494,60.3776424543096,-148.14872953919502,-148.150665438725,198.43027903187576,198.43027903187576,NN
PE16_05353,Erb,2016,NA,Female,2016-09-05,249,462,35.85867032167562,Intertidal,-162.57160871020017,NA,NA,PERB16,5353,0000016136_35,0000016136,35,Erb C,Grey Gill,FALSE,FALSE,FALSE,1,861,26.096458632696265,60.3774063149221,-148.149412227505,198.43027903187576,PE14_01655_PE14_01865,PE14_01865,PE14_01655,Erb,Erb,2014,2014,Hatchery,Natural,Male,Female,2014-09-09,2014-09-04,252,247,NA,432,168.90945332671254,83.85867032158808,Intertidal,Intertidal,-29.520825705163247,-114.5716087102877,YES,NO,CCH12,NA,PERB14,PERB14,1865,1655,1400000953_32,1400000943_37,1400000953,1400000943,32,37,Erb C,Erb C,Grey Gill,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,727,813,2.613268777277127,5.172092083089605,60.376818531830494,60.3772994422236,-148.151551297523,-148.15043220856998,198.43027903187576,198.43027903187576,NH
PE16_05379,Erb,2016,NA,Female,2016-08-24,237,426,77.85867032156841,Intertidal,-120.57160871030736,NA,NA,PERB16,5379,0000014368_13,0000014368,13,Erb C,Pink Gill,FALSE,TRUE,FALSE,1,819,2.664480946230605,60.3772933410486,-148.150244261527,198.43027903187576,PE14_00829_PE14_00310,PE14_00310,PE14_00829,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-20,2014-08-26,232,238,362,416,196.4302790318247,124.85867032167982,Intertidal,Intertidal,-2.0000000000510454,-73.57160871019596,NO,NO,NA,NA,PERB14,PERB14,310,829,1400000891_11,1400000907_35,1400000891,1400000907,11,35,Erb C,Erb C,Rotting,Pink Gill,NA,NA,NA,NA,NA,NA,1,1,699,772,1.0473061929218708,0.4562475236311191,60.3769763462356,60.37700665460449,-148.151939034775,-148.15088876220898,198.43027903187576,198.43027903187576,NN
PE16_05382,Erb,2016,NA,Female,2016-08-24,237,399,77.85867032156841,Intertidal,-120.57160871030736,NA,NA,PERB16,5382,0000014368_16,0000014368,16,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,819,2.664480946230605,60.3772933410486,-148.150244261527,198.43027903187576,PE14_00870_PE14_00190,PE14_00190,PE14_00870,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-17,2014-08-26,229,238,361,400,46.85867032159399,124.85867032167982,Intertidal,Intertidal,-151.5716087102818,-73.57160871019596,NO,NO,NA,NA,PERB14,PERB14,190,870,1400000886_35,1400000908_28,1400000886,1400000908,35,28,Erb C,Erb C,Grey Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,850,772,18.09630309032854,0.4562475236311191,60.3773886965365,60.37700665460449,-148.14965356544198,-148.15088876220898,198.43027903187576,198.43027903187576,NN
PE16_05400,Erb,2016,NA,Female,2016-08-24,237,458,77.85867032156841,Intertidal,-120.57160871030736,NA,NA,PERB16,5400,0000014368_34,0000014368,34,Erb C,Pink Gill,FALSE,FALSE,FALSE,1,819,2.664480946230605,60.3772933410486,-148.150244261527,198.43027903187576,PE14_00176_PE14_00163,PE14_00163,PE14_00176,Erb,Erb,2014,2014,Natural,Natural,Male,Female,2014-08-17,2014-08-17,229,229,394,410,46.85867032159399,46.85867032159399,Intertidal,Intertidal,-151.5716087102818,-151.5716087102818,NO,NO,NA,NA,PERB14,PERB14,163,176,1400000886_8,1400000886_21,1400000886,1400000886,8,21,Erb C,Erb C,Grey Gill,Grey Gill,NA,NA,NA,NA,NA,NA,1,1,850,850,18.09630309032854,18.09630309032854,60.3773886965365,60.3773886965365,-148.14965356544198,-148.14965356544198,198.43027903187576,198.43027903187576,NN
